Release:     2015_05 of 29-Apr-2015
104770: SAMP_HUMAN  (P02743)    
104775: APLP1_HUMAN (P51693)    
104776: APLP2_HUMAN (Q06481)    
105120: GELS_HUMAN  (P06396)    
105150: CYTC_HUMAN  (P01034)    
105200: APOA1_HUMAN (P02647)    , FIBA_HUMAN  (P02671))   , LYSC_HUMAN  (P61626))   
105210: TTHY_HUMAN  (P02766)    
105250: OSMR_HUMAN  (Q99650)    
105400: DCTN1_HUMAN (Q14203)    , FGGY_HUMAN  (Q96C11))   , NFH_HUMAN   (P12036))   ,
        SODC_HUMAN  (P00441))   
105500: TRPM7_HUMAN (Q96QT4)    
105550: CI072_HUMAN (Q96LT7)    , T106B_HUMAN (Q9NUM4))   
105590: ALK_HUMAN   (Q9UM73)    
105650: RS19_HUMAN  (P39019)    
105830: AT10A_HUMAN (O60312)    , MECP2_HUMAN (P51608))   , UBE3A_HUMAN (Q05086))   
105850: ANGI_HUMAN  (P03950)    
106100: IC1_HUMAN   (P05155)    
106150: ANGT_HUMAN  (P01019)    
106165: AGTR1_HUMAN (P30556)    
106180: ACE_HUMAN   (P12821)    
106195: B3A3_HUMAN  (P48751)    
106210: PAX6_HUMAN  (P26367)    
106260: P63_HUMAN   (Q9H3D4)    
106300: 1B27_HUMAN  (P03989)    
106410: ANK2_HUMAN  (Q01484)    
106490: ANXA3_HUMAN (P12429)    
106491: ANXA4_HUMAN (P09525)    
106600: MSX1_HUMAN  (P28360)    
106700: ANKR1_HUMAN (Q15327)    
107250: FOXE3_HUMAN (Q13461)    , PITX3_HUMAN (O75364))   
107265: CD19_HUMAN  (P15391)    
107266: CD22_HUMAN  (P20273)    
107269: CD44_HUMAN  (P16070)    
107270: CD38_HUMAN  (P28907)    
107271: CD59_HUMAN  (P13987)    
107272: CD72_HUMAN  (P21854)    
107273: CD69_HUMAN  (Q07108)    
107280: AACT_HUMAN  (P01011)    
107285: SLPI_HUMAN  (P03973)    
107300: ANT3_HUMAN  (P01008)    
107310: SL9A1_HUMAN (P19634)    
107323: AL7A1_HUMAN (P49419)    
107325: RPA34_HUMAN (O15446)    
107400: A1AT_HUMAN  (P01009)    
107410: A1ATR_HUMAN (P20848)    
107450: INAR1_HUMAN (P17181)    
107470: INGR1_HUMAN (P15260)    
107480: SALL1_HUMAN (Q9NSC2)    
107580: AP2A_HUMAN  (P05549)    
107600: BMS1_HUMAN  (Q14692)    
107670: APOA2_HUMAN (P02652)    
107680: APOA1_HUMAN (P02647)    
107690: APOA4_HUMAN (P06727)    
107710: APOC1_HUMAN (P02654)    
107720: APOC3_HUMAN (P02656)    
107730: APOB_HUMAN  (P04114)    
107740: APOD_HUMAN  (P05090)    
107741: APOE_HUMAN  (P02649)    
107748: APEX1_HUMAN (P27695)    
107760: APOF_HUMAN  (Q13790)    
107770: LRP1_HUMAN  (Q07954)    
107773: COT2_HUMAN  (P24468)    
107776: AQP1_HUMAN  (P29972)    
107777: AQP2_HUMAN  (P41181)    
107820: SYRC_HUMAN  (P54136)    
107830: ARGI2_HUMAN (P78540)    
107910: CP19A_HUMAN (P11511)    
107930: DDC_HUMAN   (P20711)    
107940: ARRB1_HUMAN (P49407)    
107941: ARRB2_HUMAN (P32121)    
107970: TGFB3_HUMAN (P10600)    
108120: TPM2_HUMAN  (P07951)    
108145: PIEZ2_HUMAN (Q9H5I5)    
108300: CO2A1_HUMAN (P02458)    
108330: CP1A1_HUMAN (P04798)    , CP1A2_HUMAN (P05177))   
108345: ARY1_HUMAN  (P18440)    
108355: GRB2_HUMAN  (P62993)    
108360: ASGR1_HUMAN (P07306)    
108361: ASGR2_HUMAN (P07307)    
108370: ASNS_HUMAN  (P08243)    
108410: SYNC_HUMAN  (O43776)    
108500: CAC1A_HUMAN (O00555)    
108600: VAMP1_HUMAN (P23763)    
108720: FLNB_HUMAN  (O75369)    
108721: FLNB_HUMAN  (O75369)    
108728: ACLY_HUMAN  (P53396)    
108729: ATPG_HUMAN  (P36542)    
108730: AT2A1_HUMAN (O14983)    
108731: AT2B1_HUMAN (P20020)    
108732: AT2B4_HUMAN (P23634)    
108733: AT2B2_HUMAN (Q01814)    
108740: AT2A2_HUMAN (P16615)    
108745: VATL_HUMAN  (P27449)    
108746: VATE1_HUMAN (P36543)    
108770: CXA5_HUMAN  (P36382)    , SCN5A_HUMAN (Q14524))   
108780: ANF_HUMAN   (P01160)    
108900: NKX25_HUMAN (P52952)    
108960: ANPRA_HUMAN (P16066)    
108961: ANPRB_HUMAN (P20594)    
108962: ANPRC_HUMAN (P17342)    
108985: TEAD1_HUMAN (P28347)    
109090: LA_HUMAN    (P05455)    
109091: CALR_HUMAN  (P27797)    
109092: RO52_HUMAN  (P19474)    
109100: AIRE_HUMAN  (O43918)    , CTLA4_HUMAN (P16410))   , PDCD1_HUMAN (Q15116))   ,
        TLR5_HUMAN  (O60602))   
109135: UFO_HUMAN   (P30530)    
109150: ATX3_HUMAN  (P54252)    
109170: LST1_HUMAN  (O00453)    
109190: AAAT_HUMAN  (Q15758)    
109195: BPI_HUMAN   (P17213)    
109270: B3AT_HUMAN  (P02730)    
109280: B3A2_HUMAN  (P04920)    
109400: PTC1_HUMAN  (Q13635)    
109480: BASI_HUMAN  (P35613)    
109530: CD48_HUMAN  (P09326)    
109535: TNR5_HUMAN  (P25942)    
109545: TNR17_HUMAN (Q02223)    
109560: BCL3_HUMAN  (P20749)    
109565: BCL6_HUMAN  (P41182)    
109580: BTG1_HUMAN  (P62324)    
109610: TSPOA_HUMAN (P30536)    
109630: ADRB1_HUMAN (P08588)    
109635: ARBK1_HUMAN (P25098)    
109636: ARBK2_HUMAN (P35626)    
109675: SIAT1_HUMAN (P15907)    
109684: DHB1_HUMAN  (P14061)    
109685: DHB2_HUMAN  (P37059)    
109690: ADRB2_HUMAN (P07550)    
109691: ADRB3_HUMAN (P13945)    
109700: B2MG_HUMAN  (P61769)    
109715: 3BHS1_HUMAN (P14060)    
109730: NOTC1_HUMAN (P46531)    
109750: BIEA_HUMAN  (P53004)    
109760: 5HT1A_HUMAN (P08908)    
109770: CEAM1_HUMAN (P13688)    
109800: FGFR3_HUMAN (P22607)    , RASH_HUMAN  (P01112))   , RB_HUMAN    (P06400))   
110100: FOXL2_HUMAN (P58012)    
110300: BGAT_HUMAN  (P16442)    
110450: AQP1_HUMAN  (P29972)    
110500: B3AT_HUMAN  (P02730)    
110600: NAR4_HUMAN  (Q93070)    
110700: ACKR1_HUMAN (Q16570)    
110750: GLPC_HUMAN  (P04921)    
110800: GNT2A_HUMAN (Q8N0V5)    , GNT2B_HUMAN (Q06430))   , GNT2C_HUMAN (Q8NFS9))   
110900: KELL_HUMAN  (P23276)    
111000: UT1_HUMAN   (Q13336)    
111100: FUT3_HUMAN  (P21217)    
111150: KLF1_HUMAN  (Q13351)    
111200: BCAM_HUMAN  (P50895)    
111250: ICAM4_HUMAN (Q14773)    
111300: GLPA_HUMAN  (P02724)    
111380: BASI_HUMAN  (P35613)    
111400: A4GAT_HUMAN (Q9NPC4)    , B3GL1_HUMAN (O75752))   
111600: ABCB6_HUMAN (Q9NP58)    
111620: ERMAP_HUMAN (Q96PL5)    
111680: RHD_HUMAN   (Q02161)    
111690: RHCE_HUMAN  (P18577)    
111700: RHCE_HUMAN  (P18577)    
111730: B4GN2_HUMAN (Q8NHY0)    
111740: GLPB_HUMAN  (P06028)    
111750: ERMAP_HUMAN (Q96PL5)    
112010: B3AT_HUMAN  (P02730)    
112050: B3AT_HUMAN  (P02730)    
112100: ACES_HUMAN  (P22303)    
112203: CD80_HUMAN  (P33681)    
112205: CD79A_HUMAN (P11912)    
112210: CD20_HUMAN  (P11836)    
112250: MTAP_HUMAN  (Q13126)    
112260: OSTCN_HUMAN (P02818)    
112261: BMP2_HUMAN  (P12643)    
112262: BMP4_HUMAN  (P12644)    
112263: BMP3_HUMAN  (P12645)    
112264: BMP1_HUMAN  (P13497)    
112265: BMP5_HUMAN  (P22003)    
112266: BMP6_HUMAN  (P22004)    
112267: BMP7_HUMAN  (P18075)    
112310: FLNB_HUMAN  (O75369)    
112500: IHH_HUMAN   (Q14623)    
112600: BMR1B_HUMAN (O00238)    , GDF5_HUMAN  (P43026))   
